Text,Problem,Question,Numbers,Equation,Answer,Constants
Mary is baking a cake . The recipe wants 8.0 cups of flour . She already put in 2.0 cups . How many cups does she need to add ?,Mary is baking a cake . The recipe wants [NUM] cups of flour . She already put in [NUM] cups . How many cups does she need to add ?,How many cups does she need to add ?,8.0 2.0,n0 - n1,6,
There are 139.0 erasers and 118.0 scissors in the drawer . Jason placed 131.0 erasers in the drawer . How many erasers are now there in total ?,There are [NUM] erasers and [NUM] scissors in the drawer . Jason placed [NUM] erasers in the drawer . How many erasers are now there in total ?,How many erasers are now there in total ?,139.0 118.0 131.0,n0 + n2,270,
One pencil weighs 28.3 grams . How much do 5.0 pencils weigh ?,One pencil weighs [NUM] grams . How much do [NUM] pencils weigh ?,How much do [NUM] pencils weigh ?,28.3 5.0,n0 * n1,141.5,
Zoe was unboxing some of her old winter clothes . She found 8.0 boxes of clothing and inside each box there were 4.0 scarves and 6.0 mittens . How many pieces of winter clothing did Zoe have total ?,Zoe was unboxing some of her old winter clothes . She found [NUM] boxes of clothing and inside each box there were [NUM] scarves and [NUM] mittens . How many pieces of winter clothing did Zoe have total ?,How many pieces of winter clothing did Zoe have total ?,8.0 4.0 6.0,n0 * ( n1 + n2 ),80,
"Keith grew 29.0 cantelopes , Fred grew 16.0 cantelopes , and Jason grew 20.0 cantelopes . How many cantelopes did they grow in total ?","Keith grew [NUM] cantelopes , Fred grew [NUM] cantelopes , and Jason grew [NUM] cantelopes . How many cantelopes did they grow in total ?",How many cantelopes did they grow in total ?,29.0 16.0 20.0,( n0 + n1 ) + n2,65,
"Ashley sold 12.0 boxes of Samoas . How many cases of 12.0 boxes , plus extra boxes does Ashley need ?","Ashley sold [NUM] boxes of Samoas . How many cases of [NUM] boxes , plus extra boxes does Ashley need ?","How many cases of [NUM] boxes , plus extra boxes does Ashley need ?",12.0 12.0,n0 / n1,1,
Adam has 13.0 blocks . Ann has with 9.0 blocks . Ann finds another 44.0 . How many blocks does Ann end with ?,Adam has [NUM] blocks . Ann has with [NUM] blocks . Ann finds another [NUM] . How many blocks does Ann end with ?,How many blocks does Ann end with ?,13.0 9.0 44.0,n1 + n2,53,
"Katie picked 3.0 tulips and 9.0 roses to make flower bouquets . If she only used 10.0 of the flowers though , how many extra flowers did Katie pick ?","Katie picked [NUM] tulips and [NUM] roses to make flower bouquets . If she only used [NUM] of the flowers though , how many extra flowers did Katie pick ?",how many extra flowers did Katie pick ?,3.0 9.0 10.0,( n0 + n1 ) - n2,2,
Ezra drew a white line that was 7.666666666666667 inches long . Then he drew a blue line that was 3.3333333333333335 inches long . How much longer was the white line than the blue line ?,Ezra drew a white line that was [NUM] inches long . Then he drew a blue line that was [NUM] inches long . How much longer was the white line than the blue line ?,How much longer was the white line than the blue line ?,7.666666666666667 3.3333333333333335,n0 - n1,4.3333333333333335,
Lisa flew 256.0 miles at 32.0 miles per hour . How long did Lisa fly ?,Lisa flew [NUM] miles at [NUM] miles per hour . How long did Lisa fly ?,How long did Lisa fly ?,256.0 32.0,n0 / n1,8,
"There were 2.0 friends playing a video game online when 2.0 more players joined the game . If each player had 8.0 lives , how many lives did they have total ?","There were [NUM] friends playing a video game online when [NUM] more players joined the game . If each player had [NUM] lives , how many lives did they have total ?",how many lives did they have total ?,2.0 2.0 8.0,n2 * ( n0 + n1 ),32,
"Jerry was helping the cafeteria workers pick up lunch trays , but he could only carry 8.0 trays at a time . If he had to pick up 9.0 trays from one table and 7.0 trays from another , how many trips will he make ?","Jerry was helping the cafeteria workers pick up lunch trays , but he could only carry [NUM] trays at a time . If he had to pick up [NUM] trays from one table and [NUM] trays from another , how many trips will he make ?",how many trips will he make ?,8.0 9.0 7.0,( n1 + n2 ) / n0,2,
"Kaleb was collecting cans for recycling . On Saturday he filled 4.0 bags up and on Sunday he filled 6.0 more bags . If each bag had 4.0 cans in it , how many cans did he pick up total ?","Kaleb was collecting cans for recycling . On Saturday he filled [NUM] bags up and on Sunday he filled [NUM] more bags . If each bag had [NUM] cans in it , how many cans did he pick up total ?",how many cans did he pick up total ?,4.0 6.0 4.0,n2 * ( n0 + n1 ),40,
"The tallest player on the basketball team is 77.75 inches tall . This is 9.5 inches taller than the shortest player . How tall is the shortest player , in inches ?","The tallest player on the basketball team is [NUM] inches tall . This is [NUM] inches taller than the shortest player . How tall is the shortest player , in inches ?","How tall is the shortest player , in inches ?",77.75 9.5,n0 - n1,68.25,
A restaurant served 5.0 cakes during lunch and 6.0 during dinner today . The restaurant served 3.0 cakes yesterday . How many cakes were served in total ?,A restaurant served [NUM] cakes during lunch and [NUM] during dinner today . The restaurant served [NUM] cakes yesterday . How many cakes were served in total ?,How many cakes were served in total ?,5.0 6.0 3.0,( n0 + n1 ) + n2,14,
Nicole found an orange caterpillar and a green caterpillar in her backyard . The green caterpillar was 3.0 inches long and the orange caterpillar was 1.1666666666666667 inches long . How much longer was the green caterpillar than the orange caterpillar ?,Nicole found an orange caterpillar and a green caterpillar in her backyard . The green caterpillar was [NUM] inches long and the orange caterpillar was [NUM] inches long . How much longer was the green caterpillar than the orange caterpillar ?,How much longer was the green caterpillar than the orange caterpillar ?,3.0 1.1666666666666667,n0 - n1,1.8333333333333333,
Sam had 9.0 dimes in his bank . His dad gave him 7.0 more dimes . How many dimes does Sam have now ?,Sam had [NUM] dimes in his bank . His dad gave him [NUM] more dimes . How many dimes does Sam have now ?,How many dimes does Sam have now ?,9.0 7.0,n0 + n1,16,
"Carol and her mom were picking carrots from their garden . Carol picked 29.0 and her mother picked 16.0 . If only 38.0 of the carrots were good , how many bad carrots did they have ?","Carol and her mom were picking carrots from their garden . Carol picked [NUM] and her mother picked [NUM] . If only [NUM] of the carrots were good , how many bad carrots did they have ?",how many bad carrots did they have ?,29.0 16.0 38.0,( n0 + n1 ) - n2,7,
Mrs. Hilt and her sister drove to a concert 78.0 miles away . They drove 32.0 miles and then stopped for gas . Her sister put 28.0 gallons of gas in the car . How many miles did they have left to drive ?,Mrs. Hilt and her sister drove to a concert [NUM] miles away . They drove [NUM] miles and then stopped for gas . Her sister put [NUM] gallons of gas in the car . How many miles did they have left to drive ?,How many miles did they have left to drive ?,78.0 32.0 28.0,n0 - n1,46,
"John made 6.0 dollars mowing lawns and 18.0 dollars weed eating . If he only spent 3.0 dollar a week , how long would the money last him ?","John made [NUM] dollars mowing lawns and [NUM] dollars weed eating . If he only spent [NUM] dollar a week , how long would the money last him ?",how long would the money last him ?,6.0 18.0 3.0,( n0 + n1 ) / n2,8,
"A study reported that in a random sampling of 100.0 women over the age of 35.0 , 8.0 of the women were married 2.0 or more times . Based on the study results , how many woman in a group of 5000.0 women over the age of 35.0 would likely be married 2.0 or more times ?","A study reported that in a random sampling of [NUM] women over the age of [NUM] , [NUM] of the women were married [NUM] or more times . Based on the study results , how many woman in a group of [NUM] women over the age of [NUM] would likely be married [NUM] or more times ?",how many woman in a group of [NUM] women over the age of [NUM] would likely be married [NUM] or more times ?,100.0 35.0 8.0 2.0 5000.0 35.0 2.0,( n2 / n0 ) * n4,400,
Elizabeth went to the salon and had 0.375 inch of hair cut off . The next day she went back and asked for another 0.5 inch to be cut off . How much hair did she have cut off in all ?,Elizabeth went to the salon and had [NUM] inch of hair cut off . The next day she went back and asked for another [NUM] inch to be cut off . How much hair did she have cut off in all ?,How much hair did she have cut off in all ?,0.375 0.5,n0 + n1,0.875,
532.0 people are watching a movie in a theater . The theater has 750.0 seats . How many seats are empty in the theater ?,[NUM] people are watching a movie in a theater . The theater has [NUM] seats . How many seats are empty in the theater ?,How many seats are empty in the theater ?,532.0 750.0,n1 - n0,218,
Roden went to a pet shop . He bought 15.0 gold fish and 7.0 blue fish . How many fish did he buy ?,Roden went to a pet shop . He bought [NUM] gold fish and [NUM] blue fish . How many fish did he buy ?,How many fish did he buy ?,15.0 7.0,n0 + n1,22,
Sandy sold lemonade in her neighborhood . She got 17.0 half - dollars on Saturday and 6.0 half - dollars on Sunday . What amount of money did Sandy receive ?,Sandy sold lemonade in her neighborhood . She got [NUM] half - dollars on Saturday and [NUM] half - dollars on Sunday . What amount of money did Sandy receive ?,What amount of money did Sandy receive ?,17.0 6.0,( n0 * x0_5 ) + ( n1 * x0_5 ),11.5,0.5
A chocolate chip cookie recipe calls for 2.0 cups of chocolate chips . You want to make 23.0 recipes for a bake sale . How many cups of chocolate chips will be needed to make all the cookie recipes ?,A chocolate chip cookie recipe calls for [NUM] cups of chocolate chips . You want to make [NUM] recipes for a bake sale . How many cups of chocolate chips will be needed to make all the cookie recipes ?,How many cups of chocolate chips will be needed to make all the cookie recipes ?,2.0 23.0,n0 * n1,46,
"Alyssa has 37.0 blue balloons , Sandy has 28.0 blue balloons , and Sally has 39.0 blue balloons . How many blue balloons do they have in all ?","Alyssa has [NUM] blue balloons , Sandy has [NUM] blue balloons , and Sally has [NUM] blue balloons . How many blue balloons do they have in all ?",How many blue balloons do they have in all ?,37.0 28.0 39.0,( n0 + n1 ) + n2,104,
"At the schools book fair Sam bought 13.0 adventure books and 17.0 mystery books . If 15.0 of the books were used , how many new books did he buy ?","At the schools book fair Sam bought [NUM] adventure books and [NUM] mystery books . If [NUM] of the books were used , how many new books did he buy ?",how many new books did he buy ?,13.0 17.0 15.0,( n0 + n1 ) - n2,15,
Fred has 40.0 baseball cards . Keith bought 22.0 of Fred 's baseball cards . How many baseball cards does Fred have now ?,Fred has [NUM] baseball cards . Keith bought [NUM] of Fred 's baseball cards . How many baseball cards does Fred have now ?,How many baseball cards does Fred have now ?,40.0 22.0,n0 - n1,18,
There are 9.0 cards . 4.0 cards more are added . How many are there total ?,There are [NUM] cards . [NUM] cards more are added . How many are there total ?,How many are there total ?,9.0 4.0,n0 + n1,13,
"April 's discount flowers was having a sale where each rose was 4.0 dollars . If April started with 13.0 roses and had 4.0 roses left , how much money did she earn ?","April 's discount flowers was having a sale where each rose was [NUM] dollars . If April started with [NUM] roses and had [NUM] roses left , how much money did she earn ?",how much money did she earn ?,4.0 13.0 4.0,n0 * ( n1 - n2 ),36,
A garden has 52.0 rows and 15.0 columns of bean plans . How many plants are there in all ?,A garden has [NUM] rows and [NUM] columns of bean plans . How many plants are there in all ?,How many plants are there in all ?,52.0 15.0,n0 * n1,780,
Lino picked up 292.0 shells at the seashore in the morning and 324.0 shells in the afternoon . How many shells did he pick up in all ?,Lino picked up [NUM] shells at the seashore in the morning and [NUM] shells in the afternoon . How many shells did he pick up in all ?,How many shells did he pick up in all ?,292.0 324.0,n0 + n1,616,
14.0 birds were sitting in a tree . 21.0 more birds flew up to the tree . How many birds were there altogether in the tree ?,[NUM] birds were sitting in a tree . [NUM] more birds flew up to the tree . How many birds were there altogether in the tree ?,How many birds were there altogether in the tree ?,14.0 21.0,n0 + n1,35,
Zach scored 42.0 points in the football game . Ben scored 21.0 points . How many more points did Zach score ?,Zach scored [NUM] points in the football game . Ben scored [NUM] points . How many more points did Zach score ?,How many more points did Zach score ?,42.0 21.0,n0 - n1,21,
6.0 students were sitting at each table in the lunchroom . There are 34.0 tables . How many students were sitting in the lunchroom ?,[NUM] students were sitting at each table in the lunchroom . There are [NUM] tables . How many students were sitting in the lunchroom ?,How many students were sitting in the lunchroom ?,6.0 34.0,n0 * n1,204,
"At Tom 's Restaurant a group with 2.0 adults and 5.0 children came in to eat . If each meal cost 8.0 dollars , how much was the bill ?","At Tom 's Restaurant a group with [NUM] adults and [NUM] children came in to eat . If each meal cost [NUM] dollars , how much was the bill ?",how much was the bill ?,2.0 5.0 8.0,n2 * ( n0 + n1 ),56,
Megan had 93.0 files on her computer . She deleted 21.0 of them and put the rest into folders with 8.0 files in each one . How many folders did Megan end up with ?,Megan had [NUM] files on her computer . She deleted [NUM] of them and put the rest into folders with [NUM] files in each one . How many folders did Megan end up with ?,How many folders did Megan end up with ?,93.0 21.0 8.0,( n0 - n1 ) / n2,9,
"Betty has 24.0 oranges stored in boxes . If there are 3.0 boxes , how many oranges must go in each box ?","Betty has [NUM] oranges stored in boxes . If there are [NUM] boxes , how many oranges must go in each box ?",how many oranges must go in each box ?,24.0 3.0,n0 / n1,8,
Students went to a concert in 8.0 buses . Each bus took 45.0 students . How many students went to the concert ?,Students went to a concert in [NUM] buses . Each bus took [NUM] students . How many students went to the concert ?,How many students went to the concert ?,8.0 45.0,n0 * n1,360,
Alyssa has 36.0 books . Nancy has 7.0 times more books than Alyssa . How many books does Nancy have ?,Alyssa has [NUM] books . Nancy has [NUM] times more books than Alyssa . How many books does Nancy have ?,How many books does Nancy have ?,36.0 7.0,n0 * n1,252,
"Joe has 45.0 oranges that must be put away in boxes . Daniel comes to help and brings 16.0 cookies to share with Joe . If there are 9.0 boxes , how many oranges must go in each box ?","Joe has [NUM] oranges that must be put away in boxes . Daniel comes to help and brings [NUM] cookies to share with Joe . If there are [NUM] boxes , how many oranges must go in each box ?",how many oranges must go in each box ?,45.0 16.0 9.0,n0 / n2,5,
Patricia starts with 76.0 candies . Albert takes 5.0 away . How many candies does Patricia end with ?,Patricia starts with [NUM] candies . Albert takes [NUM] away . How many candies does Patricia end with ?,How many candies does Patricia end with ?,76.0 5.0,n0 - n1,71,
"Joyce has 8.0 eggs . Marie gives Joyce 6.0 more . Later , Joyce buys 13.0 erasers at the store . How many eggs does Joyce have in all ?","Joyce has [NUM] eggs . Marie gives Joyce [NUM] more . Later , Joyce buys [NUM] erasers at the store . How many eggs does Joyce have in all ?",How many eggs does Joyce have in all ?,8.0 6.0 13.0,n0 + n1,14,
"Tammy drove 55.0 miles in one hour . At that rate , how far can she drive in 36.0 hours ?","Tammy drove [NUM] miles in one hour . At that rate , how far can she drive in [NUM] hours ?",how far can she drive in [NUM] hours ?,55.0 36.0,n0 * n1,1980,
Emily collected eggs from the hen and put them into 303.0 baskets . She put 28.0 eggs into each basket . How many eggs did Emily collect ?,Emily collected eggs from the hen and put them into [NUM] baskets . She put [NUM] eggs into each basket . How many eggs did Emily collect ?,How many eggs did Emily collect ?,303.0 28.0,n0 * n1,8484,
Edward and his friend were buying trick decks from the magic shop for 9.0 dollars each . How much did they spend if Edward bought 4.0 decks and his friend bought 4.0 decks ?,Edward and his friend were buying trick decks from the magic shop for [NUM] dollars each . How much did they spend if Edward bought [NUM] decks and his friend bought [NUM] decks ?,How much did they spend if Edward bought [NUM] decks and his friend bought [NUM] decks ?,9.0 4.0 4.0,n0 * ( n1 + n2 ),72,
"Nancy was organizing her book case making sure each of the shelves had exactly 6.0 books on it . If she had 2.0 shelves of mystery books and 6.0 shelves of picture books , how many books did she have total ?","Nancy was organizing her book case making sure each of the shelves had exactly [NUM] books on it . If she had [NUM] shelves of mystery books and [NUM] shelves of picture books , how many books did she have total ?",how many books did she have total ?,6.0 2.0 6.0,n0 * ( n1 + n2 ),48,
"Jane ’ s dad brought home 24.0 marble potatoes . If Jane ’ s mom made potato salad for lunch and served an equal amount of potatoes to Jane , herself and her husband , how many potatoes did each of them have ?","Jane ’ s dad brought home [NUM] marble potatoes . If Jane ’ s mom made potato salad for lunch and served an equal amount of potatoes to Jane , herself and her husband , how many potatoes did each of them have ?",how many potatoes did each of them have ?,24.0,n0 / x3,8,3
Mr. Guzman bought 48.0 doughnuts packed equally into 4.0 boxes . How many doughnuts were in each box ?,Mr. Guzman bought [NUM] doughnuts packed equally into [NUM] boxes . How many doughnuts were in each box ?,How many doughnuts were in each box ?,48.0 4.0,n0 / n1,12,
A group of 4.0 friends went into a restaurant . The chef already had 9.0 chicken wings cooked but cooked 7.0 more for the group . If they each got the same amount how many would each person get ?,A group of [NUM] friends went into a restaurant . The chef already had [NUM] chicken wings cooked but cooked [NUM] more for the group . If they each got the same amount how many would each person get ?,how many would each person get ?,4.0 9.0 7.0,( n2 + n1 ) / n0,4,
"At the arcade Victor won 46.0 tickets . If he spent 27.0 tickets on a beanie and later won 39.0 more tickets , how many would he have ?","At the arcade Victor won [NUM] tickets . If he spent [NUM] tickets on a beanie and later won [NUM] more tickets , how many would he have ?",how many would he have ?,46.0 27.0 39.0,( n0 + n2 ) - n1,58,
Sally grew 113.0 turnips and 118.0 pumpkins . Mary grew 129.0 turnips . How many turnips did they grow in total ?,Sally grew [NUM] turnips and [NUM] pumpkins . Mary grew [NUM] turnips . How many turnips did they grow in total ?,How many turnips did they grow in total ?,113.0 118.0 129.0,n0 + n2,242,
A store had 31.0 oranges in a bin . If they threw away 9.0 of the old ones and put 38.0 new ones in the bin how many would be in the bin ?,A store had [NUM] oranges in a bin . If they threw away [NUM] of the old ones and put [NUM] new ones in the bin how many would be in the bin ?,how many would be in the bin ?,31.0 9.0 38.0,( n0 + n2 ) - n1,60,
"Logan recorded the snowfall every day during a snowstorm . He recorded 0.3333333333333333 centimeter on Wednesday , 0.3333333333333333 centimeter on Thursday , and 0.2222222222222222 centimeter on Friday . How many total centimeters of snow did Logan record ?","Logan recorded the snowfall every day during a snowstorm . He recorded [NUM] centimeter on Wednesday , [NUM] centimeter on Thursday , and [NUM] centimeter on Friday . How many total centimeters of snow did Logan record ?",How many total centimeters of snow did Logan record ?,0.3333333333333333 0.3333333333333333 0.2222222222222222,( n0 + n1 ) + n2,0.8888888888888888,
"A trivia team had 14.0 members total , but during a game 7.0 members did n't show up . If each member that did show up scored 5.0 points , how many points were scored total ?","A trivia team had [NUM] members total , but during a game [NUM] members did n't show up . If each member that did show up scored [NUM] points , how many points were scored total ?",how many points were scored total ?,14.0 7.0 5.0,n2 * ( n0 - n1 ),35,
There are 6.0 pencils and 7.0 rulers in the drawer . Benny placed 3.0 pencils in the drawer . How many pencils are now there in total ?,There are [NUM] pencils and [NUM] rulers in the drawer . Benny placed [NUM] pencils in the drawer . How many pencils are now there in total ?,How many pencils are now there in total ?,6.0 7.0 3.0,n0 + n2,9,
"A new building needed 9.0 windows . The builder had already installed 6.0 of them . If it takes 6.0 hours to install each window , how long will it take him to install the rest ?","A new building needed [NUM] windows . The builder had already installed [NUM] of them . If it takes [NUM] hours to install each window , how long will it take him to install the rest ?",how long will it take him to install the rest ?,9.0 6.0 6.0,n2 * ( n0 - n1 ),18,
"Michael has 16.0 blocks stored in boxes . If there are 8.0 boxes , how many blocks must go in each box ?","Michael has [NUM] blocks stored in boxes . If there are [NUM] boxes , how many blocks must go in each box ?",how many blocks must go in each box ?,16.0 8.0,n0 / n1,2,
"Hoping to be named Salesperson of the Month , Rosa called the names from 10.2 pages of the phone book last week . This week , she called the people listed on another 8.6 pages of the same phone book . How many pages worth of people did Rosa call in all ?","Hoping to be named Salesperson of the Month , Rosa called the names from [NUM] pages of the phone book last week . This week , she called the people listed on another [NUM] pages of the same phone book . How many pages worth of people did Rosa call in all ?",How many pages worth of people did Rosa call in all ?,10.2 8.6,n0 + n1,18.8,
"Jane had been saving large empty cans to serve as pots for sunflowers . If she has 54.0 sunflower seeds and there are 9.0 cans , how many seeds will be placed in each can if she places an equal number of seeds in each can ?","Jane had been saving large empty cans to serve as pots for sunflowers . If she has [NUM] sunflower seeds and there are [NUM] cans , how many seeds will be placed in each can if she places an equal number of seeds in each can ?",how many seeds will be placed in each can if she places an equal number of seeds in each can ?,54.0 9.0,n0 / n1,6,
"A pet shelter had 8.0 puppies when another 19.0 were brought in . If 3.0 puppies a day are adopted , how long would it take for all of them to be adopted ?","A pet shelter had [NUM] puppies when another [NUM] were brought in . If [NUM] puppies a day are adopted , how long would it take for all of them to be adopted ?",how long would it take for all of them to be adopted ?,8.0 19.0 3.0,( n0 + n1 ) / n2,9,
Lemon heads come in packages of 6.0 . Louis ate 54.0 Lemon Heads . How many whole boxes did he eat and how many Lemon Heads does he have left ?,Lemon heads come in packages of [NUM] . Louis ate [NUM] Lemon Heads . How many whole boxes did he eat and how many Lemon Heads does he have left ?,How many whole boxes did he eat and how many Lemon Heads does he have left ?,6.0 54.0,n1 / n0,9,
