Text,Problem,Question,Numbers,Equation,Answer,Constants
"Bryan took a look at his books as well . If Bryan has 56.0 books in each of his 9.0 bookshelves , how many books does he have in total ?","Bryan took a look at his books as well . If Bryan has [NUM] books in each of his [NUM] bookshelves , how many books does he have in total ?",how many books does he have in total ?,56.0 9.0,n0 * n1,504,
"For the fifth grade play , the chairs have been put into 27.0 rows with 16.0 chairs in each row . How many chairs have been put out for the play ?","For the fifth grade play , the chairs have been put into [NUM] rows with [NUM] chairs in each row . How many chairs have been put out for the play ?",How many chairs have been put out for the play ?,27.0 16.0,n0 * n1,432,
There are 41.0 short trees and 44.0 tall trees currently in the park . Park workers will plant 57.0 short trees today . How many short trees will the park have when the workers are finished ?,There are [NUM] short trees and [NUM] tall trees currently in the park . Park workers will plant [NUM] short trees today . How many short trees will the park have when the workers are finished ?,How many short trees will the park have when the workers are finished ?,41.0 44.0 57.0,n0 + n2,98,
Conner has 25000.0 dollars in his bank account . Every month he spends 1500.0 dollars . He does not add money to the account . How much money will Conner have in his account after 8.0 months ?,Conner has [NUM] dollars in his bank account . Every month he spends [NUM] dollars . He does not add money to the account . How much money will Conner have in his account after [NUM] months ?,How much money will Conner have in his account after [NUM] months ?,25000.0 1500.0 8.0,n0 - ( n1 * n2 ),13000,
There are 34.0 dogwood trees currently in the park . Park workers will plant 49.0 dogwood trees today . How many dogwood trees will the park have when the workers are finished ?,There are [NUM] dogwood trees currently in the park . Park workers will plant [NUM] dogwood trees today . How many dogwood trees will the park have when the workers are finished ?,How many dogwood trees will the park have when the workers are finished ?,34.0 49.0,n0 + n1,83,
Maggi had 3.0 packages of cupcakes . There are 4.0 cupcakes in each package . She ate 5.0 cupcakes . How many are left ?,Maggi had [NUM] packages of cupcakes . There are [NUM] cupcakes in each package . She ate [NUM] cupcakes . How many are left ?,How many are left ?,3.0 4.0 5.0,n0 * n1,12,
"You deposit 70.0 dollars in a savings account that pays an annual interest rate of 3.0 % . How much simple interest would you earn in 2.5 years , in dollars ?","You deposit [NUM] dollars in a savings account that pays an annual interest rate of [NUM] % . How much simple interest would you earn in [NUM] years , in dollars ?","How much simple interest would you earn in [NUM] years , in dollars ?",70.0 3.0 2.5,( ( n0 * n1 ) * n2 ) * x0_01,5.25,0.01
Emily collects 63.0 cards . Emily 's father gives Emily 7.0 more . Bruce has 13.0 apples . How many cards does Emily have ?,Emily collects [NUM] cards . Emily 's father gives Emily [NUM] more . Bruce has [NUM] apples . How many cards does Emily have ?,How many cards does Emily have ?,63.0 7.0 13.0,n0 + n1,70,
"A chef needs to cook 15.0 potatoes . He has already cooked 8.0 . If each potato takes 9.0 minutes to cook , how long will it take him to cook the rest ?","A chef needs to cook [NUM] potatoes . He has already cooked [NUM] . If each potato takes [NUM] minutes to cook , how long will it take him to cook the rest ?",how long will it take him to cook the rest ?,15.0 8.0 9.0,n2 * ( n0 - n1 ),63,
It takes 4.0 apples to make 1.0 pie . How many apples does it take to make 504.0 pies ?,It takes [NUM] apples to make [NUM] pie . How many apples does it take to make [NUM] pies ?,How many apples does it take to make [NUM] pies ?,4.0 1.0 504.0,n0 * n2,2016,
"Isabel baked 3.0 brownies , but needed 5.0 total for her party . If she used 5.0 cups of flour on each one , how much cups of flour does she still need ?","Isabel baked [NUM] brownies , but needed [NUM] total for her party . If she used [NUM] cups of flour on each one , how much cups of flour does she still need ?",how much cups of flour does she still need ?,3.0 5.0 5.0,n2 * ( n1 - n0 ),10,
Mary is baking a cake . The recipe calls for 7.0 cups of flour and 3.0 cups of sugar . She already put in 2.0 cups of flour . How many cups of flour does she need to add ?,Mary is baking a cake . The recipe calls for [NUM] cups of flour and [NUM] cups of sugar . She already put in [NUM] cups of flour . How many cups of flour does she need to add ?,How many cups of flour does she need to add ?,7.0 3.0 2.0,n0 - n2,5,
Rachel bought two coloring books . One had 24.0 pictures and the other had 39.0 . After one week she had already colored 4.0 of the pictures . How many pictures does she still have to color ?,Rachel bought two coloring books . One had [NUM] pictures and the other had [NUM] . After one week she had already colored [NUM] of the pictures . How many pictures does she still have to color ?,How many pictures does she still have to color ?,24.0 39.0 4.0,( n0 + n1 ) - n2,59,
"Sean has 9.0 apples . Susan gives Sean 8.0 more . Later , Sean buys 18.0 tickets at the store . How many apples does Sean have in all ?","Sean has [NUM] apples . Susan gives Sean [NUM] more . Later , Sean buys [NUM] tickets at the store . How many apples does Sean have in all ?",How many apples does Sean have in all ?,9.0 8.0 18.0,n0 + n1,17,
A DVD book holds 126.0 DVDs . There are 81.0 DVDs already in the book . How many more DVDs can be put in the book ?,A DVD book holds [NUM] DVDs . There are [NUM] DVDs already in the book . How many more DVDs can be put in the book ?,How many more DVDs can be put in the book ?,126.0 81.0,n0 - n1,45,
Amy starts with 7.0 peanuts . Gerald gives Amy 55.0 more . How many peanuts does Amy end with ?,Amy starts with [NUM] peanuts . Gerald gives Amy [NUM] more . How many peanuts does Amy end with ?,How many peanuts does Amy end with ?,7.0 55.0,n0 + n1,62,
"Frank made 19.0 dollars mowing lawns over the summer . If he spent 11.0 dollars buying new mower blades , how many 2.0 dollar games could he buy with the money he had left ?","Frank made [NUM] dollars mowing lawns over the summer . If he spent [NUM] dollars buying new mower blades , how many [NUM] dollar games could he buy with the money he had left ?",how many [NUM] dollar games could he buy with the money he had left ?,19.0 11.0 2.0,( n0 - n1 ) / n2,4,
James has 232.0 balloons . Amy has 101.0 balloons . How many more balloons does James have than Amy ?,James has [NUM] balloons . Amy has [NUM] balloons . How many more balloons does James have than Amy ?,How many more balloons does James have than Amy ?,232.0 101.0,n0 - n1,131,
Beth has 4.0 packs of crayons . Each pack has 10.0 crayons in it . She also has 6.0 extra crayons . How many crayons does Beth have altogether ?,Beth has [NUM] packs of crayons . Each pack has [NUM] crayons in it . She also has [NUM] extra crayons . How many crayons does Beth have altogether ?,How many crayons does Beth have altogether ?,4.0 10.0 6.0,n0 * n1,40,
"Bianca had 45.0 coloring books . If she gave away 6.0 of them , but then bought 20.0 more , how many would she have total ?","Bianca had [NUM] coloring books . If she gave away [NUM] of them , but then bought [NUM] more , how many would she have total ?",how many would she have total ?,45.0 6.0 20.0,( n0 + n2 ) - n1,59,
"A company invited 18.0 people to a luncheon , but 12.0 of them did n't show up . If the tables they had held 3.0 people each , how many tables do they need ?","A company invited [NUM] people to a luncheon , but [NUM] of them did n't show up . If the tables they had held [NUM] people each , how many tables do they need ?",how many tables do they need ?,18.0 12.0 3.0,( n0 - n1 ) / n2,2,
"An oil pipe in the sea broke . Before engineers started to fix the pipe , 6522.0 liters of oil leaked into the water . While the engineers worked , the pipe leaked 5165.0 liters of oil . In all , how many liters of oil leaked into the water ?","An oil pipe in the sea broke . Before engineers started to fix the pipe , [NUM] liters of oil leaked into the water . While the engineers worked , the pipe leaked [NUM] liters of oil . In all , how many liters of oil leaked into the water ?",how many liters of oil leaked into the water ?,6522.0 5165.0,n0 + n1,11687,
Sara has saved 11.0 quarters from washing cars . How many cents does Sara have ?,Sara has saved [NUM] quarters from washing cars . How many cents does Sara have ?,How many cents does Sara have ?,11.0,n0 * x25,275,25
"A construction company ordered 0.16666666666666666 ton of concrete , 0.16666666666666666 ton of bricks , and 0.5 ton of stone . How many tons of material did the company order in all ?","A construction company ordered [NUM] ton of concrete , [NUM] ton of bricks , and [NUM] ton of stone . How many tons of material did the company order in all ?",How many tons of material did the company order in all ?,0.16666666666666666 0.16666666666666666 0.5,( n0 + n1 ) + n2,0.83333333333333332,
"Jessica grew 35.0 watermelons and 30.0 carrots , but the rabbits ate 27.0 watermelons . How many watermelons does Jessica have ?","Jessica grew [NUM] watermelons and [NUM] carrots , but the rabbits ate [NUM] watermelons . How many watermelons does Jessica have ?",How many watermelons does Jessica have ?,35.0 30.0 27.0,n0 - n2,8,
"Jazmin had 1209.0 dolls and Geraldine had 2186.0 dolls . If they put their dolls together , how many would they have ?","Jazmin had [NUM] dolls and Geraldine had [NUM] dolls . If they put their dolls together , how many would they have ?",how many would they have ?,1209.0 2186.0,n0 + n1,3395,
"Jerry was helping the cafeteria workers pick up lunch trays , but he could only carry 8.0 trays at a time . If he had to pick up 9.0 trays from one table and 7.0 trays from another , how many trips will he make ?","Jerry was helping the cafeteria workers pick up lunch trays , but he could only carry [NUM] trays at a time . If he had to pick up [NUM] trays from one table and [NUM] trays from another , how many trips will he make ?",how many trips will he make ?,8.0 9.0 7.0,( n1 + n2 ) / n0,2,
Mrs. Hilt measured the distance from her desk to the water fountain . It was 30.0 feet . How many feet will Mrs. Hilt walk on her trips to the fountain if she goes to the water fountain 4.0 times today ?,Mrs. Hilt measured the distance from her desk to the water fountain . It was [NUM] feet . How many feet will Mrs. Hilt walk on her trips to the fountain if she goes to the water fountain [NUM] times today ?,How many feet will Mrs. Hilt walk on her trips to the fountain if she goes to the water fountain [NUM] times today ?,30.0 4.0,n0 * n1,120,
"Last year , 90171.0 people were born in a country , and 16320.0 people immigrated to it . How many new people began living in the country last year ?","Last year , [NUM] people were born in a country , and [NUM] people immigrated to it . How many new people began living in the country last year ?",How many new people began living in the country last year ?,90171.0 16320.0,n0 + n1,106491,
Christine wandered 20.0 miles at 4.0 miles per hour . How long did Christine wander ?,Christine wandered [NUM] miles at [NUM] miles per hour . How long did Christine wander ?,How long did Christine wander ?,20.0 4.0,n0 / n1,5,
Emily was planting vegetables in her garden . She started with 42.0 seeds and planted 36.0 of them in the big garden and in each of her small gardens put 2.0 seeds each . How many small gardens did Emily have ?,Emily was planting vegetables in her garden . She started with [NUM] seeds and planted [NUM] of them in the big garden and in each of her small gardens put [NUM] seeds each . How many small gardens did Emily have ?,How many small gardens did Emily have ?,42.0 36.0 2.0,( n0 - n1 ) / n2,3,
"Dana earns $ 13.0 per hour . She worked 9.0 hours on Friday , 10.0 hours on Saturday , and 3.0 hours on Sunday . How much money did Dana earn in all ?","Dana earns $ [NUM] per hour . She worked [NUM] hours on Friday , [NUM] hours on Saturday , and [NUM] hours on Sunday . How much money did Dana earn in all ?",How much money did Dana earn in all ?,13.0 9.0 10.0 3.0,n0 * ( ( n1 + n2 ) + n3 ),286,
"Nancy picked 12.0 carrots from her garden . If she threw out 2.0 of them and then picked 21.0 more the next day , how many carrots would she have total ?","Nancy picked [NUM] carrots from her garden . If she threw out [NUM] of them and then picked [NUM] more the next day , how many carrots would she have total ?",how many carrots would she have total ?,12.0 2.0 21.0,( n0 + n2 ) - n1,31,
"My dog had some bones . Then , he dug up 367.0 bones . Now he has 860.0 bones . How many bones did he start with ?","My dog had some bones . Then , he dug up [NUM] bones . Now he has [NUM] bones . How many bones did he start with ?",How many bones did he start with ?,367.0 860.0,n1 - n0,493,
"There are 7.75 gallons of water in Becky 's fish tank . If Becky adds 7.0 gallons more , how many gallons will there be in all ?","There are [NUM] gallons of water in Becky 's fish tank . If Becky adds [NUM] gallons more , how many gallons will there be in all ?",how many gallons will there be in all ?,7.75 7.0,n0 + n1,14.75,
"While playing a trivia game , Adam answered 5.0 questions correct in the first half and 5.0 questions correct in the second half . If each question was worth 5.0 points , what was his final score ?","While playing a trivia game , Adam answered [NUM] questions correct in the first half and [NUM] questions correct in the second half . If each question was worth [NUM] points , what was his final score ?",what was his final score ?,5.0 5.0 5.0,n2 * ( n0 + n1 ),50,
"Haley and her friends were recycling paper for their class . For every 3.0 pounds they recycled they earned one point . If Haley recycled 11.0 pounds and her friends recycled 16.0 pounds , how many points did they earn ?","Haley and her friends were recycling paper for their class . For every [NUM] pounds they recycled they earned one point . If Haley recycled [NUM] pounds and her friends recycled [NUM] pounds , how many points did they earn ?",how many points did they earn ?,3.0 11.0 16.0,( n1 + n2 ) / n0,9,
Mike had 34.0 peaches at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now 86.0 peaches . how many did he pick ?,Mike had [NUM] peaches at his roadside fruit dish . He went to the orchard and picked peaches to stock up . There are now [NUM] peaches . how many did he pick ?,how many did he pick ?,34.0 86.0,n1 - n0,52,
Paige was unboxing some of her old winter clothes . She found 6.0 boxes of clothing and inside each box there were 5.0 scarves and 5.0 mittens . How many pieces of winter clothing did Paige have total ?,Paige was unboxing some of her old winter clothes . She found [NUM] boxes of clothing and inside each box there were [NUM] scarves and [NUM] mittens . How many pieces of winter clothing did Paige have total ?,How many pieces of winter clothing did Paige have total ?,6.0 5.0 5.0,n0 * ( n1 + n2 ),60,
Sally saw 1.0 dozen birds in a tree . How many birds did Sally see ?,Sally saw [NUM] dozen birds in a tree . How many birds did Sally see ?,How many birds did Sally see ?,1.0,n0 * x12,12,12
